time,x,y,z,u,v,w,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,-1.3631e-16,0.0,0.9799999999999994,0.0,0.0,0.0,0.0,7.880312775330397e-17,0.0
0.2,-1.3631e-17,0.0,0.09799999999999995,-0.02752858927960443,0.0,1.9602743792985429,0.0,0.0,0.0,0.0,-0.02405292604409037,0.0
0.30000000000000004,-0.0027528589279604567,0.0,0.29402743792985425,-0.11485024824475268,0.0,2.945321354554197,0.0,-0.002405292604407805,0.0,0.0,-0.12017459553222336,0.0
0.4,-0.014237883752435726,0.0,0.588559573385274,-0.24491175480941182,0.0,3.9606791533843984,0.0,-0.014422752157628338,0.0,0.0,-0.3356758540525773,0.0
0.5,-0.03872905923337691,0.0,0.9846274887237139,-0.33068523695851115,0.0,5.064078332798848,0.0,-0.047990337562879404,0.0,0.0,-0.717383123461836,0.0
0.6000000000000001,-0.07179758292922803,0.0,1.4910353220035986,-0.16553242361235737,0.0,6.296768316777801,0.0,-0.11972864990906373,0.0,0.0,-1.312109256788622,0.0
0.7000000000000001,-0.08835082529046376,0.0,2.120712153681379,0.575699928468717,0.0,7.468263617242271,0.0,-0.2509395755879211,0.0,0.0,-2.1473536442091343,0.0
0.8,-0.03078083244359206,0.0,2.867538515405606,1.8535820921750805,0.0,7.900478989666385,0.0,-0.4656749400088245,0.0,0.0,-3.1426666342167198,0.0
0.9,0.154577376773916,0.0,3.6575864143722443,2.5646218789851067,0.0,7.4490349786442955,0.0,-0.7799416034305011,0.0,0.0,-4.008842081357035,0.0
1.0,0.41103956467242664,0.0,4.402489912236674,2.5061971865581,0.0,7.400045832423976,0.0,-1.1808258115661943,0.0,0.0,-4.564902732602475,0.0
1.1,0.6616592833282366,0.0,5.142494495479071,2.752870870640836,0.0,7.977222610809971,0.0,-1.6373160848264376,0.0,0.0,-5.01915145780779,0.0
1.2000000000000002,0.9369463703923202,0.0,5.940216756560068,3.955047750653286,0.0,8.479785515727137,0.0,-2.1392312306072085,0.0,0.0,-5.526726619013642,0.0
1.3,1.3324511454576489,0.0,6.788195308132782,6.168326529995424,0.0,7.7147844858355645,0.0,-2.691903892508577,0.0,0.0,-6.012536716806415,0.0
1.4000000000000001,1.9492837984571914,0.0,7.559673756716339,8.373128952194302,0.0,4.743105686109921,0.0,-3.2931575641892152,0.0,0.0,-6.145163577026543,0.0
1.5,2.7865966936766213,0.0,8.033984325327332,9.984923788588663,0.0,0.5330175225338669,0.0,-3.9076739218918704,0.0,0.0,-5.6482137298270665,0.0
1.6,3.7850890725354875,0.0,8.087286077580718,12.344902527358803,0.0,-3.4912364986315927,0.0,-4.472495294874591,0.0,0.0,-4.528922528764635,0.0
1.7000000000000002,5.019579325271367,0.0,7.738162427717558,17.728703572140322,0.0,-5.294846594628141,0.0,-4.925387547751058,0.0,0.0,-2.5593148902932135,0.0
1.8,6.792449682485399,0.0,7.208677768254744,17.291742615002317,0.0,2.7662883360881425,0.0,-5.181319036780366,0.0,0.0,0.06016510265567421,0.0
1.9000000000000001,8.521623943985631,0.0,7.485306601863559,18.208431924560067,0.0,-6.7825554583213625,0.0,-5.175302526514798,0.0,0.0,-0.7160428325131508,0.0
2.0,10.342467136441638,0.0,6.807051056031423,9.721388935011879,0.0,-8.653649492982256,0.0,-5.246906809766102,0.0,0.0,1.7617096853090057,0.0
2.1,11.314606029942826,0.0,5.941686106733197,14.047815377441227,0.0,-14.672557510831112,0.0,-5.070735841235205,0.0,0.0,3.259816713076183,0.0
2.2,12.71938756768695,0.0,4.474430355650086,25.926889354419814,0.0,-10.22137717959285,0.0,-4.744754169927575,0.0,0.0,7.216084251302147,0.0
2.3000000000000003,15.312076503128932,0.0,3.4522926376908014,28.29480240460141,0.0,-21.213073993579535,0.0,-4.023145744797347,0.0,0.0,7.681025436235558,0.0
2.4000000000000004,18.14155674358907,0.0,1.3309852383328478,27.20474470803344,0.0,-38.29145850350679,0.0,-3.2550432011738053,0.0,0.0,14.891755708166311,0.0
2.5,20.862031214392417,0.0,0.0,47.73375893664846,0.0,-74.50000295253339,0.0,-1.765867630357178,0.0,0.0,33.876808953158324,0.0
2.6,25.63540710805726,0.0,0.0,102.75647123320827,0.0,-195.41946655733284,0.0,1.6218132649586607,0.0,0.0,96.31698200534952,0.0
2.7,35.91105423137809,0.0,0.0,87.33256288746571,0.0,-1031.8957180380307,0.0,11.253511465493602,0.0,0.0,496.8353215488592,0.0
2.8000000000000003,44.64431052012466,0.0,0.0,-23382.04828431094,0.0,-10168.453020966886,0.0,60.93704362037954,0.0,0.0,15174.396325225118,0.0
2.9000000000000004,-2293.5605179109693,0.0,0.0,2840256.6697375504,0.0,-30158983.15041286,0.0,138.37667614289148,0.0,0.0,20269275.032693025,0.0
3.0,281732.10645584407,0.0,0.0,-7223495513.080541,0.0,22230166291.597767,0.0,-94.12005455442704,0.0,0.0,-88085457597.214,0.0
3.1,-722067819.2015983,0.0,2223016629.1597767,115233467620829.7,0.0,-176767107690627.78,0.0,26.158544540405273,0.0,0.0,20269275.032699585,0.0
3.2,11522624694263.77,0.0,0.0,-343782463502442.25,0.0,129813816200061.72,0.0,153.66181449894793,0.0,0.0,-88085457597.214,0.0
3.3000000000000003,-22855621655980.457,0.0,12981381620006.172,-5281269693281307.0,0.0,-2925932700446838.0,0.0,-86.0595874786377,0.0,0.0,20269275.032699585,0.0
